config_id,mode,pct,min_range_pct,min_vol_zscore,min_sign_consistency,barrier_k_tp,barrier_sl_base_mult,barrier_disp_floor,expansion_name,expansion_offsets,slice,side,kind,horizon,n_samples,label_pos_rate,mean_ret_bps,sharpe,sortino,weighted_ret_bps,n_days,opportunities_per_day,tp_sl_ratio
VW_P06_FULL_EPOS48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,pos48,"4,8",short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_EPOS48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,pos48,"4,8",short_tf,short,tf,2,0,0,0,0,0,0,,,
VW_P06_FULL_EPOS48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,pos48,"4,8",short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_EPOS48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,pos48,"4,8",short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",long_mr,long,mr,2,0,0,0,0,0,0,,,
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",long_mr,long,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",long_mr,long,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",long_tf,long,tf,2,0,0,0,0,0,0,,,
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",long_tf,long,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",long_tf,long,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",short_mr,short,mr,2,0,0,0,0,0,0,,,
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",short_mr,short,mr,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",short_mr,short,mr,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",short_tf,short,tf,2,0,0,0,0,0,0,,,
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",short_tf,short,tf,4,0,0,0,0,0,0,0.0,0.0,1.00:0.50
VW_P06_FULL_ESYM48,vol_weight,0.06,0.06,1.6,0.7,1.0,0.5,0.1,sym48,"-4,-8,4,8",short_tf,short,tf,8,0,0,0,0,0,0,0.0,0.0,1.00:0.50
